ticker,return_1y,return_6m,return_1m,volatility,momentum,ma_50,ma_200,sector,market_cap,price,dividend,avg_volume
CHOLAHLDNG.NS,0.007355545951295452,-0.04554672179979054,-0.004352338167001746,0.024390995086524776,-125.2000732421875,1755.0440014648439,1877.5949243164061,Financial Services,309885730816,1648.1,0.08,185084
CHOLAFIN.NS,0.20430521143984337,0.21897256638963974,0.06140859614626389,0.01904430126733464,32.5699462890625,1700.8281396484374,1623.1180145263672,Financial Services,1473337622528,1729.9,0.11,1681627
CIPLA.NS,-0.05737909184899152,-0.15433499752119084,0.015181250442550982,0.012742120260329493,-53.4000244140625,1400.4200048828125,1489.992159423828,Healthcare,1085818732544,1344.2,0.96,1629731
CUB.NS,0.9802708620740757,0.46646261425509444,-0.04722452361226181,0.021675638760589255,14.5,285.72700134277346,236.7067375946045,Financial Services,213477457920,287.3,0.69,2170573
CLEAN.NS,-0.41983711695093245,-0.3902485573499148,-0.17106502106556826,0.019402499529992172,-146.7236328125,825.0807836914063,1094.3534130859375,Basic Materials,75786780672,711.85,0.83,283002
COALINDIA.NS,0.26003889231414473,0.18936003626672993,-0.015286167880694788,0.01310109064815367,2.973297119140625,416.6855163574219,381.351732635498,Energy,2637955858432,428.05,5.07,7686845
COCHINSHIP.NS,0.15051990004081514,-0.07354603178869765,-0.10570744361225921,0.02752915763273455,-42.066162109375,1545.018017578125,1755.232163696289,Industrials,389309825024,1479.4,0.88,847541
COFORGE.NS,-0.18894505383493165,-0.29881639592694886,-0.27228203865830425,0.02261195754343041,-524.6708984375,1587.8633764648437,1719.9291381835938,Technology,404736442368,1204.8,1.33,2742905
COHANCE.NS,-0.7130258309635817,-0.6509493587124926,-0.20207183388320468,0.023127906271623682,-121.70001220703125,415.3160009765625,770.2832495117187,Healthcare,116472569856,304.45,,913909
COLPAL.NS,-0.06984686659602235,-0.014630235170243342,0.07515852339146002,0.01349056222091376,168.300048828125,2132.8039965820312,2250.430033569336,Consumer Defensive,618223370240,2273.0,2.22,352741
CAMS.NS,0.07163450470618948,-0.06481788355271909,-0.01158188322329208,0.019496859081234993,-37.20208740234375,725.4145336914063,767.1036282348633,Technology,170237280256,686.75,1.74,1085139
CONCORDBIO.NS,-0.21468022916514326,-0.2578291337909694,0.055309736811326365,0.02687897743348548,-110.800048828125,1259.9519946289063,1546.474711303711,Healthcare,129922867200,1241.9,0.85,413740
CONCOR.NS,-0.05222796895592327,-0.05256981519627418,-0.01021929297104913,0.016464661260757293,-22.43194580078125,508.0512030029297,542.2636944580078,Industrials,375934615552,493.6,2.72,1319885
COROMANDEL.NS,0.35502160515523273,-0.0240142754362676,-0.01268358964485627,0.021293094251041013,-67.6845703125,2290.3265234375,2298.51669921875,Basic Materials,663642898432,2245.0,0.64,289205
CRAFTSMAN.NS,0.8302686469261753,0.09753821861767029,0.04496378297116305,0.02319960081342346,-122.0,7626.47,6699.97908203125,Consumer Cyclical,182197026816,7643.5,0.06,50134
CREDITACC.NS,0.3268824785657565,-0.07921996034001103,-0.02826988315114964,0.025542144110358236,-10.4000244140625,1296.1499975585937,1297.295,Financial Services,206095417344,1287.2,,834840
CROMPTON.NS,-0.19699954260570635,-0.2146969881924716,0.17024157808886092,0.01611630958807604,7.9499969482421875,251.87019897460937,297.26877479553224,Consumer Cyclical,169203400704,258.88,1.14,3300836
CUMMINSIND.NS,0.7725522673114678,0.29014299117124076,0.2003270407995921,0.016655869004105067,870.38720703125,4324.0552978515625,3924.910526123047,Industrials,1362049892352,4913.6,1.08,594869
CYIENT.NS,-0.27756851639747065,-0.19970639418227942,-0.1895263648176641,0.018439794597858536,-278.5999755859375,1096.239998779297,1179.0471432495117,Industrials,101857452032,922.5,3.47,389008
DCMSHRIRAM.NS,0.12480119986995328,-0.14352547323886086,-0.10536601503771867,0.023591998634314108,-105.288330078125,1163.3887841796875,1210.1137194824219,Industrials,163190784000,1052.5,1.33,160692
DLF.NS,-0.05140900418197326,-0.1814491276651007,-0.04844669727560952,0.01835390847854385,-44.89996337890625,654.3880017089843,743.4573864746094,Real Estate,1497736806400,604.85,0.98,3242301
DOMS.NS,-0.07724927204575918,-0.04683488737265109,-0.028127623845507977,0.02122562156768527,-228.199951171875,2462.6319921875,2485.7915197753905,Industrials,140522995712,2315.0,0.13,66572
DABUR.NS,0.03916911089038048,-0.006392538682447747,0.01667978994798217,0.012679671398787356,0.5,510.51000061035154,504.8869854736328,Consumer Defensive,912918315008,514.7,1.53,1669424
DALBHARAT.NS,0.16972668361756357,-0.15936527466349157,-0.024449285887194385,0.01460635831942498,-147.39990234375,2113.663986816406,2157.306322631836,Basic Materials,378461257728,2016.0,0.44,278728
DATAPATTNS.NS,1.1075869923653696,0.32969865784639074,0.1958230187926507,0.03256193832230722,653.0,2677.254013671875,2745.992850341797,Industrials,178812796928,3194.0,0.24,636717
DEEPAKFERT.NS,-0.04540964842352267,-0.29169231701464765,-0.07558253943698742,0.023857793572862523,-222.199951171875,1131.6320043945314,1385.6934716796875,Basic Materials,123395743744,976.5,1.01,323714
DEEPAKNTR.NS,-0.15968786360580395,-0.11795962947267113,-0.039878234398782346,0.01615522393701682,30.5999755859375,1631.552001953125,1774.6272576904296,Basic Materials,215091822592,1577.0,0.47,153017
DELHIVERY.NS,0.71411839414482,-0.06227965955930803,0.03771126901314691,0.020983513265815833,37.449981689453125,416.2720025634766,423.6732502746582,Industrials,329662595072,438.95,,2279513
DEVYANI.NS,-0.26597831361335533,-0.2696016581999744,0.09528317839340765,0.02119445620842159,-4.8800048828125,131.7,156.09160007476805,Consumer Cyclical,156891578368,127.25,,4703473
DIVISLAB.NS,0.15305948296387833,0.05129250591209329,0.06527846636919517,0.015954860328262595,210.0,6289.02,6383.946467285156,Healthcare,1711343140864,6446.5,0.46,351128
DIXON.NS,-0.2629259552052589,-0.38948278161194333,-0.024985640436530728,0.022385185484440327,-547.0,11401.62,14720.030517578125,Technology,619247763456,10200.0,0.08,676645
AGARWALEYE.NS,0.10033158962517758,0.020268717314447602,0.035239745811669554,0.0191663315898444,-37.04998779296875,473.18000061035156,458.24550033569335,Healthcare,142230732800,448.95,,161403
LALPATHLAB.NS,0.18756887180709703,-0.15687728263258777,-0.012584154902583345,0.016261958174050625,-6.1221923828125,1418.6755126953126,1498.120189819336,Healthcare,231775879168,1388.1,0.92,295786
DRREDDY.NS,0.16142184190447106,0.030870585800919698,0.06641492983787928,0.013034095323747134,123.5,1246.9780053710938,1258.9299572753907,Healthcare,1081173016576,1298.6,0.61,1529119
EIDPARRY.NS,0.2734191809943388,-0.22721623532917237,-0.05752353698442284,0.01898757776616945,-61.0,942.3869995117187,1034.028501586914,Basic Materials,155183235072,871.85,,191166
EIHOTEL.NS,-0.03303575420770476,-0.20438593431821742,0.00921959792276719,0.019953016280241733,-23.399993896484375,340.7860009765625,369.92928314208984,Consumer Cyclical,198521864192,317.45,0.47,836502
EICHERMOT.NS,0.6597833124902227,0.3250860232672456,0.1354159354159354,0.013327991492883454,772.0,7457.61,6539.387395019531,Consumer Cyclical,2218241818624,8086.5,0.85,475519
ELECON.NS,-0.028476052901734116,-0.23222702761417213,0.038103375546199955,0.028830742113502773,31.75,438.41700134277346,548.2519288635253,Industrials,95010930688,423.4,0.47,925709
ELGIEQUIP.NS,0.20037680398866747,0.14771639459121289,0.2559136652643585,0.024900213889375314,110.19998168945312,475.14800048828124,498.4720292663574,Industrials,171048468480,541.65,0.41,632960
EMAMILTD.NS,-0.11733412557715005,-0.16564156147316086,-0.018350462171916604,0.01679093510459269,-30.215972900390625,497.5682684326172,541.7023651123047,Consumer Defensive,204585074688,468.65,2.53,566167
EMCURE.NS,0.505974725312439,-0.0006128451784179086,0.0026642315983471557,0.022924536428768617,-90.800048828125,1473.0100024414062,1380.8572326660155,Healthcare,277628977152,1464.5,0.21,158434
ENDURANCE.NS,0.4635663290953122,-0.08174149331034444,0.08550354204096851,0.02141950853455125,108.300048828125,2529.530009765625,2648.737021484375,Consumer Cyclical,370899812352,2636.8,0.38,75080
ENGINERSIN.NS,0.40140749737229536,0.13104121405782915,0.2941380841217823,0.025051918402650763,36.029998779296875,194.8309994506836,204.48788162231446,Industrials,125451968512,223.03,1.34,8635068
ERIS.NS,0.12454757112107163,-0.23737796373779638,-0.0061795710650672485,0.020244570434029482,-85.9000244140625,1448.913994140625,1605.0494982910157,Healthcare,186208501760,1367.0,0.97,128787
